Topic,Question,VariableName,Responses,Year,Type,DisplayOrder
Sugar Sweetened Beverages and Menu Labeling,About how often do you drink regular soda or pop that contains sugar? Do not include diet soda or diet pop.,SSBSUGAR,101-199=Times per day 201-299=Times per week 301-399=Times per month 300=Less than one time per month 888=Never 777=DK/Not sure 999=Refused,2013,Module Question,117
Sugar Drinks,"During the past 30 days, how often did you drink sugar-sweetened fruit drinks (such as Kool-aid and lemonade), sweet tea, and sports or energy drinks (such as Gatorade and Red Bull)? Do not include 100% fruit juice, diet drinks, or artificially sweetened",SSBFRUT2,101-199=Times per day 201-299=Times per week 301-399=Times per month 300=Less than one time per month 888=Never 777=DK/Not sure 999=Refused,2013,Module Question,118
Sodium or Salt-Related Behavior,Are you currently watching or reducing your sodium or salt intake?,WTCHSALT,1=Yes 2=No 7=DK/NS 9=Refused,2013,Module Question,119
Sodium or Salt-Related Behavior,"How many days, weeks, months, or years have you been watching or reducing your sodium or salt intake?",LONGWTCH,101-199=Day(s) 201-299=Week(s) 301-399=Month(s) 401-499=Year(s) 555=All my life 777=DK/NS 999=Refused,2013,Module Question,120
Sodium or Salt-Related Behavior,Has a doctor or other health professional ever advised you to reduce sodium or salt intake?,DRADVISE,1=Yes 2=No 7=DK/NS 9=Refused,2013,Module Question,121
Asthma/Adult Asthma History,"[Prologue: Previously you said you were told by a doctor, nurse, or other health professional that you had asthma.]  How old were you when you were first told by a doctor, nurse, or other health professional that you had asthma?",ASTHMAGE,_ _=Age in years 11 or older [96=96 and older]  9 7=Age 10 or younger  9 8=DK/NS  9 9=Refused,2013,Module Question,122
Asthma/Adult Asthma History,"[If one or more visits to Q3, fill in ""Besides those emergency room visits,""] During the past 12 months, how many times did you see a doctor, nurse, or other health professional for urgent treatment of worsening asthma symptoms?",ASDRVIST,_ _=Number of visits [87=87 or more]  8 8=None  9 8=DK/NS  9 9=Refused,2013,Module Question,125
Asthma/Adult Asthma History,"[Prologue] During the past 12 months, how many times did you see a doctor, nurse, or other health professional for a routine checkup for your asthma?",ASRCHKUP,_ _=Number of visits [87=87 or more]  8 8=None  9 8=DK/NS  9 9=Refused,2013,Module Question,126
Asthma/Adult Asthma History,"[Prologue] During the past 12 months, how many days were you unable to work or carry out your usual activities because of your asthma?",ASACTLIM,_ _ _=Number of days  8 8 8=None  7 7 7=DK/NS  9 9 9=Refused,2013,Module Question,127
Asthma/Adult Asthma History,"[Prologue] Symptoms of asthma include cough, wheezing, shortness of breath, chest tightness and phlegm production when you don't have a cold or respiratory infection.  During the past 30 days, how often did you have any symptoms of asthma?  Would you say --",ASYMPTOM,"8=Not at any time  1=Less than once a week  2=Once or twice a week  3=More than 2 times a week, but not every day  4=Every day, but not all the time  5=Every day, all the time  7=DK/NS  9=Refused",2013,Module Question,128
Asthma/Adult Asthma History,"[Prologue] During the past 30 days, how many days did symptoms of asthma make it difficult for you to stay asleep? Would you say--",ASNOSLEP,8=None  1=One or two  2=Three to four  3=Five  4=Six to ten  5=More than ten  7=DK/NS  9=Refused,2013,Module Question,129
Asthma/Adult Asthma History,"[Prologue] During the past 30 days, how many days did you take a prescription asthma medication to PREVENT an asthma attack from occurring? (Variable name change)",ASTHMED3,8=Never  1=1 to 14 days  2=15 to 24 days  3=25 to 30 days  7=DK/NS  9=Refused,2013,Module Question,130
Asthma/Adult Asthma History,"[Prologue] During the past 30 days, how often did you use a prescription asthma inhaler DURING AN ASTHMA ATTACK to stop it? (Note: How often (number of times) does NOT equal number of puffs. Two to three puffs are usually taken each time the inhaler is used.)",ASINHALR,8=Never (include no attack in past 30 days)  1=1 to 4 times (in the past 30 days)  2=5 to 14 times (in the past 30 days)  3=15 to 29 times (in the past 30 days)  4=30 to 59 times (in the past 30 days)  5=60 to 99 times (in the past 30 days)  6=100 or more,2013,Module Question,131
Cardiovascular Disease/Heart Attack and Stroke,"[Prologue: I would like to ask you a few questions about your cardiovascular or heart health.] Following your heart attack, did you go to any kind of outpatient rehabilitation? This is sometimes called ""rehab.""",HAREHAB1,1=Yes  2=No  7=DK/NS  9=Refused,2013,Module Question,132
Cardiovascular Disease/Heart Attack and Stroke,"[Prologue] Following your stroke, did you go to any kind of outpatient rehabilitation? This is sometimes called ""rehab.""",STREHAB1,1=Yes  2=No  7=DK/NS  9=Refused,2013,Module Question,133
Cardiovascular Disease/Heart Attack and Stroke,[Prologue] Do you take aspirin daily or every other day?,CVDASPRN,1=Yes   2=No   7=DK/NS   9=Refused,2013,Module Question,134
Cardiovascular Disease/Heart Attack and Stroke,"[Prologue] Do you have a health problem or condition that makes taking aspirin unsafe for you? If ""Yes"" ask ""Is this a stomach condition?"" Code upset stomach as stomach problems.",ASPUNSAF,"1=Yes, not stomach related  2=Yes, stomach problems  3=No  7=DK/NS  9=Refused",2013,Module Question,135
Cardiovascular Health,Do you take aspirin to relieve pain?,RLIVPAIN,1=Yes 2=No 7=DK/NS 9=Refused,2013,Module Question,136
Cardiovascular Health,Do you take aspirin to reduce the chance of a heart attack?,RDUCHART,1=Yes 2=No 7=DK/NS 9=Refused,2013,Module Question,137
Cardiovascular Health,Do you take aspirin to reduce the chance of a stroke?,RDUCSTRK,1=Yes 2=No 7=DK/NS 9=Refused,2013,Module Question,138
Arthritis (Arthritis Management/Burden),"Earlier you indicated that you had arthritis or joint symptoms. Thinking about your arthritis or joint symptoms, which of the following best describes you today?",ARTTODAY,1=I can do everything I would like to do  2=I can do most things I would like to do  3=I can do some things I would like to do  4=I can hardly do anything I would like to do   7=DK/NS   9=Refused,2013,Module Question,139
Arthritis (Arthritis Management/Burden),Has a doctor or other health professional EVER suggested losing weight to help your arthritis or joint symptoms?,ARTHWGT,1=Yes  2=No  7=DK/NS  9=Refused,2013,Module Question,140
Arthritis (Arthritis Management/Burden),"Has a doctor or other health professional ever suggested physical activity or exercise to help your arthritis or joint symptoms? (Note: If the respondent is unclear about whether this means an increase or decrease in physical activity, this means increase.)",ARTHEXER,1=Yes  2=No  7=DK/NS  9=Refused,2013,Module Question,141
Arthritis (Arthritis Management/Burden),Have you EVER taken an educational course or class to teach you how to manage problems related to your arthritis or joint symptoms?,ARTHEDU,1=Yes  2=No  7=DK/NS  9=Refused,2013,Module Question,142
Immunization,At what kind of place did you get your last flu shot/vaccine?,IMFVPLAC,"1=A doctor´s office or health maintenance organization (HMO) 2=A health department 3=Another type of clinic or health center (Example: a community health center) 4=A senior, recreation, or community center 5=A store (Examples: supermarket, drug store) 6=A",2013,Module Question,143
Adult Human Papilloma Virus (HPV),Have you ever had the HPV vaccination?,HPVADVC2,1=Yes 2=No 3=Doctor refused when asked 7=DK/NS 9=Refused,2013,Module Question,144
Adult Human Papilloma Virus (HPV),How many HPV shots did you receive?,HPVADSHT,_ _=Number of shots  0 3=All shots  7 7=DK/NS  9 9=Refused,2013,Module Question,145
Women's Health,[Prologue: The next questions are about breast and cervival cancer.] A mammogram is an x-ray of each breast to look for breast cancer. Have you ever had a mammogram?,HADMAM,1=Yes  2=No  7=DK/NS  9=Refused,2013,Module Question,146
Women's Health,[Prologue] How long has it been since you had your last mammogram?,HOWLONG,1=Within the past year (anytime less than 12 months ago)  2=Within the past 2 years (1 year but less than 2 years ago)  3=Within the past 3 years (2 years but less than 3 years ago)  4=Within the past 5 years (3 years but less than 5 years ago)  5=5 or mo,2013,Module Question,147
Women's Health,"[Prologue] A clinical breast exam is when a doctor, nurse, or other health professional feels the breasts for lumps. Have you ever had a clinical breast exam?",PROFEXAM,1=Yes  2=No  7=DK/NS  9=Refused,2013,Module Question,148
Women's Health,[Prologue] How long has it been since your last breast exam?,LENGEXAM,1=Within the past year (anytime less than 12 months ago)  2=Within the past 2 years (1 year but less than 2 years ago)  3=Within the past 3 years (2 years but less than 3 years ago)  4=Within the past 5 years (3 years but less than 5 years ago)  5=5 or mo,2013,Module Question,149
Women's Health,[Prologue] A Pap test is a test for cancer of the cervix. Have you ever had a Pap test?,HADPAP2,1=Yes  2=No  7=DK/NS  9=Refused,2013,Module Question,150
Women's Health,[Prologue] How long has it been since you had your last Pap test?,LASTPAP2,1=Within the past year (anytime less than 12 months ago)  2=Within the past 2 years (1 year but less than 2 years ago)  3=Within the past 3 years (2 years but less than 3 years ago)  4=Within the past 5 years (3 years but less than 5 years ago)  5=5 or mo,2013,Module Question,151
Women's Health,[Prologue] Have you had a hysterectomy?     A hysterectomy is an operation to remove the uterus (womb).,HADHYST2,1=Yes  2=No  7=DK/NS  9=Refused,2013,Module Question,152
Colorectal Cancer Screening,A blood stool test is a test that may use a special kit at home to determine whether the stool contains blood.  Have you ever had this test using a home kit?,BLDSTOOL,1=Yes  2=No  7=DK/NS  9=Refused,2013,Module Question,153
Colorectal Cancer Screening,How long has it been since you had your last blood stool test using a home kit? (Variable name change),LSTBLDS3,1=Within the past year (anytime less than 12 months ago)  2=Within the past 2 years (1 year but less than 2 years ago)  3=Within the past 3 years (2 years but less than 3 years ago)  4=Within the past 5 years (3 years but less than 5 years ago)  5=5 or mo,2013,Module Question,154
Colorectal Cancer Screening,Sigmoidoscopy and colonoscopy are exams in which a tube is inserted in the rectum to view the colon for signs of cancer or other health problems.  Have you ever had either of these exams?,HADSIGM3,1=Yes  2=No  7=DK/NS  9=Refused,2013,Module Question,155
Colorectal Cancer Screening,"For a sigmoidoscopy, a flexible tube is inserted into the rectum to look for problems. A colonoscopy is similar, but uses a longer tube, and you are usually given medication through a needle in your arm to make you sleepy and told to have someone else drive you home after the test. Was your MOST RECENT examination called a sigmoidoscopy or a colonoscopy? (Variable name change)",HADSGCO1,1=Sigmoidoscopy  2=Colonoscopy  3=Something else  7=DK/NS  9=Refused,2013,Module Question,156
Colorectal Cancer Screening,How long has it been since you had your last sigmoidoscopy or colonoscopy? (Variable name change),LASTSIG3,1=Within the past year (anytime less than 12 months ago)  2=Within the past 2 years (1 year but less than 2 years ago)  3=Within the past 3 years (2 years but less than 3 years ago)  4=Within the past 5 years (3 years but less than 5 years years ago)   5=,2013,Module Question,157
Prostate Cancer Screening,PCPSAAD2,PCPSAAD2,1=Yes 2=No 7=DK/NS 9=Refused,2013,Module Question,158
Prostate Cancer Screening,"Has a doctor, nurse, or other health professional EVER talked with you about the disadvantages of the PSA test?",PCPSADI1,1=Yes 2=No 7=DK/NS 9=Refused,2013,Module Question,159
Prostate Cancer Screening,"Has a doctor, nurse, or other health professional EVER recommended that you have a PSA test?",PCPSARE1,1=Yes 2=No 7=DK/NS 9=Refused,2013,Module Question,160
Prostate Cancer Screening,Have you EVER HAD a PSA test?,PSATEST1,1=Yes 2=No 7=DK/NS 9=Refused,2013,Module Question,161
Prostate Cancer Screening,[Prologue] How long has it been since you had your last PSA test?,PSATIME,1=Within the past year (anytime less than 12 months ago)  2=Within the past 2 years (1 year but less than 2 years)  3=Within the past 3 years (2 years but less than 3 years)  4=Within the past 5 years (3 years but less than 5 years)  5=5 or more years ago,2013,Module Question,162
Prostate Cancer Screening,What was the MAIN reason you had this PSA test – was it …?,PCPSARS1,1=Part of a routine exam 2=Because of a prostate problem 3=Because of a family history of prostate cancer 4=Because you were told you had prostate cancer 5=Some other reason 7=DK/NS 9=Refused,2013,Module Question,163
